pantun_id,line1,line2,line3,line4,region,theme,is_complete,full_text
4066,Teluk Jambu Padang Lengkuas,Anak katak di atas tunggul,Kalau peluk tak jemu pandang tak puas,Lama-lama nanti sekali timbul,Perak Kedah dan Perlis,Nasihat & Moral,True,Teluk Jambu Padang Lengkuas Anak katak di atas tunggul; Kalau peluk tak jemu pandang tak puas Lama-lama nanti sekali timbul
4067,Teluk Milik Padang Jahana,Rama-rama di atas tunggul,Adik balik abang nak tanya,Lama-lama sekali timbul,Perak Kedah dan Perlis,Nasihat & Moral,True,Teluk Milik Padang Jahana Rama-rama di atas tunggul; Adik balik abang nak tanya Lama-lama sekali timbul
4068,Tempat mana cepok berbunyi,Pokok kabu tepi kolam,Tempat mana adik berjanji,Di dalam kelambu atas tilam,Perak Kedah dan Perlis,Nasihat & Moral,True,Tempat mana cepok berbunyi Pokok kabu tepi kolam; Tempat mana adik berjanji Di dalam kelambu atas tilam
4069,Tenun kain dengannya kapas,Warna corak bermacam ragi,Perahu lilin layar kertas,Cuba melanggar lautan api,Perak Kedah dan Perlis,Nasihat & Moral,True,Tenun kain dengannya kapas Warna corak bermacam ragi; Perahu lilin layar kertas Cuba melanggar lautan api
4070,Terung catur tepi sempadan,Tanam gelugur di tebing tinggi,Sudah patut sudah padan,Sudah ukur sama tinggi,Perak Kedah dan Perlis,Nasihat & Moral,True,Terung catur tepi sempadan Tanam gelugur di tebing tinggi; Sudah patut sudah padan Sudah ukur sama tinggi
4071,Tetak belimbing condong ke dapur,Tetak tunjang dari dahan,Minta sirih dengannya kapur,Minta sekali dengan tuan-tuan,Perak Kedah dan Perlis,Nasihat & Moral,True,Tetak belimbing condong ke dapur Tetak tunjang dari dahan; Minta sirih dengannya kapur Minta sekali dengan tuan-tuan
4072,Tetak buluh buat panah,Hendak panah kuda berlari,Minta laut jadikan tanah,Senang abang berulang ke mari,Perak Kedah dan Perlis,Nasihat & Moral,True,Tetak buluh buat panah Hendak panah kuda berlari; Minta laut jadikan tanah Senang abang berulang ke mari
4073,Tetak serentang bawa mudik,Anak raja duduk di taman,Duduk bertentang adik beradik,Bagai bunga kembang setaman,Perak Kedah dan Perlis,Nasihat & Moral,True,Tetak serentang bawa mudik Anak raja duduk di taman; Duduk bertentang adik beradik Bagai bunga kembang setaman
4074,Tetak tebu tiga batang,Pisang hitam masak di kebun,Abang tipu kata nak datang,Bulan gelap hujan nak turun,Perak Kedah dan Perlis,Nasihat & Moral,True,Tetak tebu tiga batang Pisang hitam masak di kebun; Abang tipu kata nak datang Bulan gelap hujan nak turun
4075,Tetak tebu buatkan dayung,Hendak berdayung tanah besar,Tuntut ilmu buatkan payung,Hendak berpayung di Padang Mahsyar,Perak Kedah dan Perlis,Nasihat & Moral,True,Tetak tebu buatkan dayung Hendak berdayung tanah besar; Tuntut ilmu buatkan payung Hendak berpayung di Padang Mahsyar
4076,Tidak ditoleh si kuda belang,Akar lama melilit pongsu,Tidak boleh muda dik cadang,Angkat cerana mengadap guru,Perak Kedah dan Perlis,Nasihat & Moral,True,Tidak ditoleh si kuda belang Akar lama melilit pongsu; Tidak boleh muda dik cadang Angkat cerana mengadap guru
4077,Tiga petak tiga penjuru,Anak haruan di padang Cina,Habis dah ubat habis dah peluru,Barang tembak sedikit pun tak kena,Perak Kedah dan Perlis,Nasihat & Moral,True,Tiga petak tiga penjuru Anak haruan di padang Cina; Habis dah ubat habis dah peluru Barang tembak sedikit pun tak kena
4078,Timba-timba dicebok jangan,Takut dapat puyu saja,Gila-gila mabuk jangan,Takut dapat malu sahaja,Perak Kedah dan Perlis,Nasihat & Moral,True,Timba-timba dicebok jangan Takut dapat puyu saja; Gila-gila mabuk jangan Takut dapat malu sahaja
4079,Tudung saji hanyut terapung,Buat penutup asam pauh,Hati ingin pulang kekampung,Luasnya laut tidak terenang,Perak Kedah dan Perlis,Nasihat & Moral,True,Tudung saji hanyut terapung Buat penutup asam pauh; Hati ingin pulang kekampung Luasnya laut tidak terenang
4080,Tudung saji dari Semarang,Ada kasut simpan di peti,Begini nasib hidup yang malang,Hidup seorang ibu jauh,Perak Kedah dan Perlis,Nasihat & Moral,True,Tudung saji dari Semarang Ada kasut simpan di peti; Begini nasib hidup yang malang Hidup seorang ibu jauh
4081,Tumbuk tepung jangan dicuci,Buat bubur dalam belanga,Tutup pintu jangan kunci,Abang nak masuk tidur sama,Perak Kedah dan Perlis,Nasihat & Moral,True,Tumbuk tepung jangan dicuci Buat bubur dalam belanga; Tutup pintu jangan kunci Abang nak masuk tidur sama
4082,Walau kencang bertiup angin,Kapal berlabuh akan terbalik,Biarlah karam di tengah lautan,Namun tidak berpatah balik,Perak Kedah dan Perlis,Nasihat & Moral,True,Walau kencang bertiup angin Kapal berlabuh akan terbalik; Biarlah karam di tengah lautan Namun tidak berpatah balik
4083,Waktu senja tanak pulut,Untuk bekal turun ke padang,Di mulut naga lagi kurebut,Inikan pula di tangan orang,Perak Kedah dan Perlis,Nasihat & Moral,True,Waktu senja tanak pulut Untuk bekal turun ke padang; Di mulut naga lagi kurebut Inikan pula di tangan orang
